Week,State,Sum of Amount_Previous_year,Sum of dine_in_Previous_year
5/4/20,OR,4202370.66,3801652.95
5/4/20,PA,10476436.49,9137885.04
5/4/20,RI,2612789.6,2289544.56
5/4/20,SC,3266174.44,2972032.98
5/4/20,TN,5558089.83,5043740.67
5/4/20,TX,23279515.1,20437003.28
5/4/20,UT,3022889.15,2541619.62
5/4/20,VA,8884798.92,8016063.69
5/4/20,VT,926683.65,846235.2
5/4/20,WA,9242561.3,8478089.82
5/4/20,WI,3939613.42,3613307.1
5/4/20,WV,475029.83,339131.54
5/11/20,AL,1137210.55,1046019.41
5/11/20,AR,827478.72,645576.35
5/11/20,AZ,2898702.92,2633770.57
5/11/20,CA,47277393.17,37847862.38
5/11/20,CO,7368255.05,6311124.83
5/11/20,CT,7279612.37,6078673.6
5/11/20,DC,5064604.81,4624293.67
5/11/20,DE,788519.08,653623.13
5/11/20,FL,23469943.31,20176070.62
5/11/20,GA,2994594.73,2561984.03
5/11/20,IA,1066737.36,934057.59
5/11/20,ID,657804.17,618504.51
5/11/20,IL,20766797.19,18186407.6
5/11/20,IN,4557238.43,3943950.3
5/11/20,KS,948159.58,816098.38
5/11/20,KY,3293707.87,3021623.32
5/11/20,LA,3787734.97,3513413.36
5/11/20,MA,28825069.84,24531034.24
5/11/20,MD,8362845.37,7093233.57
5/11/20,ME,2397799.53,2036955.75
5/11/20,MI,10852967.8,9049838.06
5/11/20,MN,2531091.02,2270706.61
5/11/20,MO,4890392.51,4227899.07
5/11/20,MS,1323998.33,1253883.87
5/11/20,MT,632156.71,581773.02
5/11/20,NC,5159750.78,4454161.85
5/11/20,NE,971390.77,857400.04
5/11/20,NH,1916243.89,1536257.89
5/11/20,NJ,5507399.73,4349976.24
5/11/20,NM,961390.26,867156.35
5/11/20,NV,3113605.11,2690089.95
5/11/20,NY,31355932.78,26357769.49
5/11/20,OH,12657680.19,10003317.51
5/11/20,OK,1889599.67,1533393.75
5/11/20,OR,3907880.45,3514150.17
5/11/20,PA,10306916.74,9035875.02
5/11/20,RI,2585306.91,2275617.34
5/11/20,SC,3269418.53,2960682.9
5/11/20,TN,5301233.02,4785609.54
5/11/20,TX,23254003.2,20433954.01
5/11/20,UT,2951765.5,2509931.85
5/11/20,VA,8430182.75,7590483.85
5/11/20,VT,893645.47,812081.91
5/11/20,WA,8744562.29,8011542.12
5/11/20,WI,3717390.28,3408606.28
5/11/20,WV,420271.24,288298.29
5/18/20,AL,1157357.27,1072675.83
5/18/20,AR,838699.84,656037.59
5/18/20,AZ,3056540.88,2783807.22
5/18/20,CA,48823364.63,39309164.21
5/18/20,CO,7718509.41,6643759.17
5/18/20,CT,7078889.59,5946709.48
5/18/20,DC,4800920.04,4401864.2
5/18/20,DE,781582.07,651487.74
5/18/20,FL,23745575.16,20520685.02
5/18/20,GA,3031824.72,2598018.03
5/18/20,IA,1096474.96,958613.48
5/18/20,ID,705939.29,665646.82
5/18/20,IL,21250411.33,18750314.86
5/18/20,IN,4635143.04,4043327.13
5/18/20,KS,913701.28,767491.73
5/18/20,KY,3171318,2900120.61
5/18/20,LA,3894759.08,3616850.56
5/18/20,MA,28065137.94,23914808.4
5/18/20,MD,8568151.14,7329509.53
5/18/20,ME,2741388.92,2353554.51
5/18/20,MI,11130764.16,9377041.5
5/18/20,MN,2326084.12,2070034.1
5/18/20,MO,4738684.64,4090431.39
5/18/20,MS,1437002.1,1369161.76
5/18/20,MT,680710.43,627217.65
5/18/20,NC,5074597.6,4417526.3
5/18/20,NE,974477.4,854482.47
5/18/20,NH,1800450.6,1434329.27
5/18/20,NJ,5592993.69,4456920.04
5/18/20,NM,978424.9,893187.79
5/18/20,NV,3315625.72,2897439.14
5/18/20,NY,30160162.32,25684629.07
5/18/20,OH,12628547.39,9944249.21
5/18/20,OK,1779467.6,1421752.48
5/18/20,OR,4082863.38,3679496.32
5/18/20,PA,9673989.63,8495452.7
5/18/20,RI,3003940.81,2687078.3
5/18/20,SC,3288257.48,3019095.93
5/18/20,TN,5396900.56,4923861.82
5/18/20,TX,23985058.97,21121712.93
5/18/20,UT,2957908.56,2500440.54
5/18/20,VA,8331756.43,7493760.1
5/18/20,VT,989419.44,899289.61
5/18/20,WA,8843116.45,8127941.44
5/18/20,WI,3708709.53,3428193.38
5/18/20,WV,419273.36,291652.87
5/25/20,AL,1043600.64,956141.31
5/25/20,AR,783303.55,608516.71
5/25/20,AZ,2737914.53,2489130.56
5/25/20,CA,48066191.99,38153095.99
5/25/20,CO,7542034.01,6519510.44
5/25/20,CT,6767196.56,5631280.65
5/25/20,DC,4287997.64,3876060.66
5/25/20,DE,748505.09,626914.57
5/25/20,FL,22965044.29,19704661.34
5/25/20,GA,2943169.68,2525677.02
5/25/20,IA,979428.75,852199.7
5/25/20,ID,713082.31,676008.46
5/25/20,IL,20094555,17502620.92
5/25/20,IN,4462206.96,3896983.55
