Security,MCD US Equity ,,SBUX US Equity,,YUM US Equity,,CMG US Equity,,QSR US Equity,,YUMC US Equity,,DRI  US Equity,,DPZ  US Equity,,DNKN  US Equity,,WEN US Equity,,CAKE US Equity,
Start Date,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,40817,,2011/10/1,,40817,
End Date,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,44001,,2020/6/19,,44001,
Period,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,,D,
Currency,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,,USD,
,,,,,,,,,,,,,,,,,,,,,,
Date,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME,PX_LAST,PX_VOLUME
2018/6/6,162.38,3586190,57.17,13709779,83.61,2843308,453.82,724648,61.13,2112624,41.22,1869047,90.91,1061458,269.63,817884,66.15,1074519,16.8,2936409,54.36,593680
2018/6/5,159.48,2952304,55.68,18278843,82.91,1940907,453.34,719372,59.82,1772415,40.3,1686463,89.26,1106089,262.63,805162,65.12,868715,16.7,3682283,53.71,566656
2018/6/4,160.22,3174562,57.07,7484072,82.29,1464662,443.83,570786,59.96,1163179,39.49,2098559,88.67,1286950,255.39,488315,64.45,945626,16.36,4261561,52.77,740933
2018/6/1,159.16,3203782,56.91,4967653,81.91,1978552,438.62,640892,59.19,1484113,39.34,2609169,88.5,1269010,252.85,557397,63.78,1296387,16.09,2942329,52.04,397419
2018/5/31,160.01,4881141,56.67,9433042,81.33,5390352,430.18,665895,59.02,1745987,39.3,7363354,87.41,1792908,251.48,579580,64.03,869550,16.11,4600037,51.81,406770
2018/5/30,161.82,2396547,57.48,5762434,82.51,2628066,436.61,385369,59.56,2959535,39.41,2044867,88.97,1244670,251.7,586885,64.18,1280971,16.62,2885466,52.14,752329
2018/5/29,160.62,3197053,57.23,6475865,81.91,2147304,433.01,528028,57.35,1297246,38.5,2171564,88.08,1492507,245.8,674236,63.77,1792192,16.38,2772343,51.23,581739
2018/5/25,163.21,2582090,57.92,6783776,82.53,1814363,428.96,454493,58.36,1246182,38.77,1335683,87.88,1478409,250.34,283897,65.16,1088489,16.44,2215897,51.33,760639
2018/5/24,162.39,3378040,57.68,5681592,83.47,1621916,433.43,298003,57.95,1421000,38.78,1791451,86.95,1719290,252.24,521042,66.06,719126,16.51,2110661,50.76,752556
2018/5/23,161.62,3835129,57.49,5339882,83.09,1691841,435.51,369774,57.3,2185431,38.56,1633744,85.71,1672023,249.49,520546,66.02,766907,16.28,1904473,50.3,852694
2018/5/22,159.45,3224003,56.96,5355604,82.38,2367005,433.44,410674,56.95,2061011,38.5,2249458,85.94,1431393,248.21,318451,65.34,930361,16.23,3065606,50.49,627028
2018/5/21,161.48,2424012,57.34,5379291,82.69,1599466,433.86,412500,56.77,1028929,38.9,3086436,86.22,1468036,248.37,536678,66.09,789649,16.46,1974270,51,1059714
2018/5/18,160.98,2318045,57.16,7786028,82.34,2477854,431.95,709961,55.8,1322380,38.15,2737180,85.06,1745630,244.86,697857,65.91,661863,16.33,1648236,50.41,1570740
2018/5/17,161.31,2975505,57.2,6110124,83,1982489,438.58,1140878,56,1025374,37.58,2220034,85.94,2345775,246.55,336063,65.83,576262,16.35,2924257,52.33,588864
2018/5/16,162.87,2522035,57.15,4843941,83.57,1743212,444.67,1860724,56.19,1461130,37.58,1864642,87.22,1148353,247.34,389972,65.51,796368,16.34,4266038,52.15,737414
2018/5/15,163.06,3471278,56.64,7415770,83.34,1600335,426.56,730912,56.31,1841548,37.06,2108213,87.3,1686035,247.1,423897,64.96,618268,16.53,4044749,51.8,1053325
2018/5/14,164.72,2537289,57.13,5871783,83.6,1544618,425.06,823991,57.06,2579330,37.38,1730423,86.97,2307538,246.14,414594,65.1,1291786,16.27,5410380,51.92,1914241
2018/5/11,165.39,2258462,57.27,5843427,84.62,1419383,424.9,546085,56.91,2109269,37.43,1902897,90.33,1895607,249.91,325688,65.15,1190262,16.63,3549803,53.56,868610
2018/5/10,165.07,1675139,57.65,6565825,84.68,2375823,422.67,465453,56.63,1662385,37.98,5230458,91.34,1129310,249.72,573029,64.06,825458,16.62,4090643,53.76,520067
2018/5/9,164.24,2762488,57.04,7015334,84.45,1780185,424.69,571860,55.7,1200473,37.67,2918626,91.84,1132331,249.91,543483,63.96,1127244,16.71,9652621,53.17,884239
2018/5/8,164.77,2808116,57.67,7234031,83.51,1641008,424.42,674543,55.48,1374743,37.63,1602265,92.27,1150343,250.41,627744,64.76,1145380,17.31,6151689,54.13,959564
2018/5/7,165,3378990,57.45,10630594,83.11,3366434,419.62,580994,54.52,1546917,37.89,2150494,91.91,1916472,250.5,565898,64.1,1204058,16.87,4805104,53.25,1097236
2018/5/4,165.03,4283643,57.68,9279180,82.43,2136510,420.41,704122,54.49,1806134,38.19,4210607,92.83,1198112,248.24,307674,63.71,1605858,16.75,2471712,52.96,1262512
2018/5/3,160.08,3450094,56.13,7152390,82.67,5644783,419.42,801123,54.39,1861159,36.91,6353382,91.83,869509,245.83,552462,61.97,766768,16.71,2515103,52.03,631319
2018/5/2,160.68,4318436,56.7,7299089,80.2,6576928,421.22,1048321,53.85,2046402,37,12613978,91.99,1003077,244.28,521571,62.02,1170716,16.54,2896446,52.12,801728
2018/5/1,163.44,6560143,58.13,7257462,86.64,3391903,426.01,969865,54.03,1348676,42.47,2417944,93.3,956271,247.68,645680,62.31,1674009,16.73,4362179,52.76,990761
2018/4/30,167.44,12954744,57.57,7854596,87.1,3487781,423.33,1681564,54.42,1605010,42.76,4709973,92.86,2533701,241.73,841352,60.96,956777,16.74,4802558,51.95,1250389
2018/4/27,158.3,4141496,58.36,11975153,87.05,2224977,427.35,3145854,54.17,1380484,42.05,2550255,94.44,1346373,248.42,987656,60.6,2221960,17.06,3120375,52.83,1375322
2018/4/26,158.9,3680630,59.38,14516626,86.76,2899318,422.5,7034583,54.47,3609064,41.42,2562291,92.85,1413546,250.61,1709128,62.02,2813699,17.17,1948400,52.11,2915010
2018/4/25,155.94,3710228,57.71,8367357,85.26,1648887,339.52,1360192,54.9,3238379,39.46,1858342,91.12,908168,233.53,845189,62.21,1768788,16.95,2696583,50.92,2158901
2018/4/24,157.32,2904359,57.81,7793565,85.18,1783332,333.1,850008,56.3,6648612,39.88,1987071,90.4,1004653,231.82,891675,61.22,1049463,16.85,3860280,50.65,1214938
2018/4/23,158.99,3051878,58.16,8444396,85.89,1835613,330.71,981391,53.5,3358950,39.75,2263005,91.05,1500336,239.48,657168,61.4,1274486,17.22,1497436,51.1,1200815
2018/4/20,158.77,3961213,58,12037567,86.29,1730523,331.95,802754,54.66,1617601,40.73,1850126,91.05,1773846,238.93,487685,60.92,1365556,17.15,2390827,51.6,1146694
2018/4/19,159.53,3276623,59.22,6280126,86.44,1568415,338.46,709824,54.83,1776825,40.68,1288506,89.76,843946,240.69,401548,61.01,1096111,17.39,2649391,52.33,934116
2018/4/18,161.81,2503128,59.5,5914193,86.99,1848425,339.36,1597051,55.06,2972346,40.34,1517858,89.76,1137848,238.19,399598,60.62,1122767,17.63,3192201,53.07,845540
2018/4/17,162.55,2861915,59.83,6139581,86.6,1620799,334.61,894468,54.42,1271777,40.73,1871529,89.42,1318708,237.16,414132,60.56,726322,17.32,5285295,52.535,863128
2018/4/16,161.63,3115186,59.43,6119171,86.26,1644968,326.6,782952,54.7,2463785,40.09,1508693,88.95,1618540,232.35,353574,60.24,894699,17.3,3663606,52.35,994746
2018/4/13,161.73,2452777,59.24,6689776,85.42,1634028,318.36,625476,55.07,2408294,40.27,1258814,87.72,1785453,230.32,528565,60.33,889356,17.26,4479901,52.19,1142969
2018/4/12,161.62,5178889,59.43,6088247,85.75,1679015,325.08,618210,56.15,1004200,41.05,1538312,86.85,1040852,231.48,398770,60.78,901795,17.28,4060396,50.71,809285
2018/4/11,163.34,2711129,59.42,5508027,85.44,1586486,321.75,668065,55.89,1177721,41.23,2583575,86.5,970039,231,326701,60.28,639681,16.88,2420271,51.04,1108846
2018/4/10,162.77,3926051,59.41,6671853,85.58,2352061,321.77,595373,56.21,2245292,40.92,3993691,86.59,1698489,231.7,445171,60.22,629140,17.1,1967185,51.94,966337
2018/4/9,161.23,3581531,58.7,8023776,84.45,1490097,317.1,514713,56.09,1710178,39.23,2272510,86.55,2084316,232.43,380574,60.08,745008,17.1,1633760,51.45,875264
2018/4/6,161.25,4321878,58.34,8264473,84.46,1891611,318.07,633603,55.96,1497368,38.55,4377691,86.86,1757619,231.46,658238,59.69,714355,17.02,2799210,52.06,2032593
2018/4/5,163.95,4503889,59.14,6305050,86.01,1978502,327.71,599813,56.59,2885184,40,1535905,86.67,1852828,235.79,610887,60.16,894205,17.38,3921891,51.74,1954576
2018/4/4,161.73,4888038,58.83,7893065,85.42,2610391,325.84,690735,57.87,1117113,39.87,3906352,86.84,1829153,231.45,1026203,60,934771,17.33,2236169,50.01,1051214
2018/4/3,160.4,4719350,58,10908217,84.11,2463372,316.66,598578,57.15,907202,39.56,2563837,84.56,1381417,233.47,539037,58.95,905826,17.13,6613822,48.4,1044531
2018/4/2,157.72,6960137,56.24,16778277,83.74,2282926,311.16,819357,56.46,1494537,39.63,1754696,84.07,2188506,230.42,733582,58.1,1531015,16.91,5567603,47.47,1122717
2018/3/29,156.38,5289487,57.89,12015218,85.13,1718883,323.11,532690,56.92,1172278,41.5,2109325,85.25,1319850,233.56,963759,59.69,966969,17.55,2520604,48.22,996089
2018/3/28,158.41,3913249,57.9,9301897,84.25,2476357,319.51,515954,55.61,2571624,40.72,3934456,84.38,1857939,233.87,738546,59.81,760416,17.42,2481304,48,837566
2018/3/27,157.48,3519139,57.46,7562939,83.88,3006206,322.96,598653,56.57,970960,40.76,2722440,84.22,1430242,231.58,795067,59.43,898000,17.16,3125790,48.31,943176
2018/3/26,158.01,3476951,57.8,8444852,84.03,2049933,327.86,690373,57.46,1018200,41.28,2382455,84.82,2123616,231.28,632718,60.65,1051603,17.12,2343669,47.88,1127384
2018/3/23,154.98,3447383,56.31,9476776,81.68,2720558,322.3,1050600,56.51,987404,40.1,2892090,84.25,2723723,226.65,799087,59.06,1138785,16.79,2995410,47.24,1294449
2018/3/22,157.04,3669437,57.77,6846463,82.18,1996312,336.71,1541252,57.07,938551,40,2621993,85.94,5256453,226.4,915936,59.45,948940,17.17,3166195,46.98,633357
2018/3/21,158.66,3871947,58.47,6569109,82.81,1302576,334.52,1378530,58.07,1078080,41.55,3148866,93.31,1661351,228.26,512821,60.89,1294209,17.37,3173967,47.94,577886
2018/3/20,159.38,3105129,58.66,5888445,83.09,1855545,320.17,547990,58.39,2212915,41.17,2884428,95.11,1925423,231.59,574269,60.45,872049,17.32,2245467,48.44,505988
2018/3/19,159.01,4307627,58.3,9350572,82.14,2176418,316.8,551203,57.53,939589,40.69,1877775,94.37,1629549,227.67,636175,59.88,1626888,17.16,2028734,48,738051
2018/3/16,162.36,14293754,59,13030896,83.5,2344144,320.2,726758,57.69,1244634,41.53,2390227,94.55,3029875,229.79,904428,59.73,2885659,17.1,3569277,47.85,860324
2018/3/15,161.61,5925708,59.37,7377036,82.88,2233701,318.91,786755,57.43,985072,41.28,1323592,93.62,1693217,226.82,808464,59.26,902099,16.76,2476890,47.62,607166
2018/3/14,158.24,3878961,58.83,6488531,82.27,1692456,319.66,764504,58.1,1503053,41.62,1788661,94.21,1280427,226.66,394258,59.3,1098916,16.99,2273217,48.3,595242
2018/3/13,158.22,4333091,59.05,10411354,82.35,1890361,326.8,663292,57.42,1812148,41.26,1865343,94.48,1585483,226.4,675427,59.74,825537,17,3670394,48.66,970732
2018/3/12,157.74,4461502,59.4,10550283,82.41,2666809,323.76,628614,59.13,1126176,41.99,1755656,94.75,1253229,227.69,855337,60.21,654277,17.35,3789846,49.07,1131263
2018/3/9,157.24,5076480,58.46,9539617,82.95,1897727,322.16,567189,59.33,1571718,41.43,2810461,94.81,1209071,230.26,657021,60.49,817540,17.52,3870626,49.31,803408
2018/3/8,154.44,4291386,57.47,7434706,82.42,2377362,321.86,537296,58.91,1543710,41.43,3192984,93.62,1671426,222.78,581067,60.02,652676,17.12,6060817,49.17,1144560
2018/3/7,152.38,4492049,57.03,7044099,81.41,1855847,319.95,384740,57.9,1246808,41.9,1707506,93.39,1714781,222.96,754772,59.43,707727,16.63,3207319,49.84,1124671
2018/3/6,151.2,5015408,57.03,8046794,81.38,1968747,318.04,535325,57.8,909041,42.78,1200449,94.12,1468480,221.44,965284,59.48,857311,16.6,5010161,48.55,1092367
2018/3/5,151.03,6397841,56.99,7835398,80.63,1896081,320.16,790311,57.93,1550046,42.21,2813629,94.45,1857326,219.61,930100,59.45,1148324,16.27,3202100,48.43,969138
2018/3/2,148.27,11754262,56.93,11555132,80.29,2776701,319.99,843313,57.5,2088755,42.47,1383782,95.47,2294816,223.1,873192,59.32,1399785,16.14,7856901,48.07,1037006
2018/3/1,155.7,5608962,56.17,11127627,79.7,2673980,313.26,1095845,58.41,2072850,42.02,1783962,92.5,1115526,222.82,898889,58.41,1812957,15.98,3279371,47.1,951760
2018/2/28,157.74,6116820,57.1,11541059,81.38,3629428,318.41,912634,58.59,1801085,43.32,2253983,92.19,3265624,222.41,918479,59.89,1479915,15.95,3022517,46.49,1190403
2018/2/27,160.66,4907530,56.57,8821414,80.18,2315789,319.15,1749924,58.86,1875230,43.47,2689410,92.88,1660316,226.47,634169,61.3,1251244,16.28,3110400,47.27,1165943
2018/2/26,163.58,4525196,57.17,8713847,80.57,1790024,311.89,911041,59.02,2416100,43.95,2170621,96.32,806338,228.02,980820,61.88,745153,16.62,7279306,48.71,825102
2018/2/23,163.06,4272364,56.14,11394350,79.8,2329638,315.82,955338,59.46,1687351,43.75,3136978,95.35,1406790,228.85,1014801,61.98,1228910,16.88,8235974,48.52,1265273
2018/2/22,160.66,4398165,55.4,10172399,78.32,1881110,313.91,1287493,58.44,1143455,41.8,3604035,95.19,867242,227,1791477,61.31,939190,16.88,11165079,47.93,3427181
2018/2/21,158.64,7833396,56.1,7850950,77.81,2209931,320.96,1902927,58.66,2257361,41.33,2441136,95.3,1159984,230.53,3409679,60.7,1691297,16.22,10178780,46.22,2305593
2018/2/20,157.16,5211141,55.97,9450906,78.08,2553725,317.57,2740580,59.23,3686204,40.39,1658424,94.9,1170626,221.49,4770099,62.15,1002877,16.1,6604317,45.61,1784842
2018/2/16,157.79,7165793,56.48,10151328,78.25,2688922,305.63,2742393,59.02,1580082,40.44,1840520,96.52,1240386,220.74,1397075,62.64,1352697,16.39,9948436,46.53,925472
2018/2/15,160.78,5012104,56.58,10294949,78.97,2901896,286.65,1208986,58.29,1950736,40.29,2315130,97.69,1836412,217.7,1398979,63.88,2331173,15.7,6600531,47.06,612130
2018/2/14,159.99,5865565,55.99,14190323,77.88,3108012,289.91,5384609,57.71,1870958,40.39,3126213,95.61,1276909,209.78,918306,61.33,1802289,15.75,2348159,46.37,835730
2018/2/13,162.4,5405988,55.67,10416385,77.77,1512668,251.33,1520320,57.78,3274402,40.07,2178002,94.72,1965674,208,1277869,59.6,1575119,15.47,3252170,45.21,783523
2018/2/12,163.9,5255925,55.38,10968956,78.07,3023822,254.45,1953508,59.95,7867359,39.8,3541926,94.22,1343945,211.87,943140,59.26,2023370,15.73,4841566,45.44,1143170
2018/2/9,160.8,7187079,54.58,19382011,79.31,5100433,255.46,3064613,56.51,3501780,40.29,4345733,92.69,1648213,206.09,1228442,58.57,2807841,15.66,6597872,45.14,1622683
2018/2/8,158.97,5655988,53.77,17736671,76.3,4632845,266.01,1891122,56.43,2696998,41,6913442,91.33,1776546,198.57,1449964,59.16,2395792,15.48,4876167,44.5,1017038
2018/2/7,165.71,4974029,54.46,13927022,80.13,3561068,272.21,4780612,59.23,2009871,44.3,2588708,95.08,1213546,211.31,884521,58.86,1762893,15.86,3317964,46.16,1137052
2018/2/6,165.18,7019960,55.61,17415065,80.58,3050096,304.33,2092166,58.12,2526815,43.89,2910927,94.38,2462002,208.46,1396607,59.71,2618385,15.73,5091586,46.65,1572606
2018/2/5,163.85,7309275,54.69,16059955,79.8,2870315,300.3,1349301,56.83,2328208,44.32,1599321,94.22,1687890,208.02,946834,60.84,1843055,15.3,4545206,47.11,1382142
2018/2/2,169.38,4604454,55.77,15358909,82.63,3161369,311.64,951975,59.04,2035469,45.55,1344065,96.04,1701877,214.38,784330,62.34,918721,15.87,2359389,49.33,1660093
2018/2/1,171.9,4751328,56,14690146,83.98,1685275,314.72,1646308,60.19,1322963,46.75,1573980,97.51,1561118,218.67,687121,64.28,760662,16.37,2551067,50.89,1926176
2018/1/31,171.14,7004176,56.81,13118364,84.59,2132134,324.76,737156,60.39,1234680,46.39,1598025,95.85,1798318,216.85,699257,64.65,830156,16.18,2968692,49.19,730046
2018/1/30,172.48,9612974,57.19,14341155,84.59,1779572,322.08,1929254,60.2,1564132,46.79,1511176,96.54,1273291,215.95,617719,65.5,908395,16.02,4766348,48.77,770992
2018/1/29,177.77,6091905,57.02,18899867,86.48,2303333,332.33,764790,60.48,1475893,47.04,2118965,98.23,809646,215.33,705373,66.56,1565505,16.36,2075230,49.77,838164
2018/1/26,178.36,3957724,57.99,51851690,86.2,1332647,330.23,665600,61.65,1052845,48.18,1551932,98.49,838933,216.78,765979,68.18,825241,16.5,2374747,50.05,943676
2018/1/25,175.66,2815838,60.55,16225618,85.66,929863,333.97,573940,61.95,1228237,47.5,1507090,97.86,985528,219.33,762278,68.38,907187,16.62,2641491,49.41,606709
2018/1/24,176.12,2810819,60.83,11911867,85.24,1192932,329.53,786768,61.63,1346246,47.41,2376881,97.55,732308,218.72,836049,67.67,1185718,16.64,2658405,49.34,525802
2018/1/23,176.81,3197644,61.69,10806783,85.84,2010054,328.71,1225218,61.32,2189793,47.94,2009416,97.49,818751,219.57,1145383,66.68,1184447,16.81,2088652,49.32,661596
2018/1/22,176.21,3217879,61.41,11945783,84.91,1469255,330,1438674,61.22,1613585,47.58,3044590,98.06,1200059,216.29,840325,64.76,799095,16.8,2248523,48.9,1262720
2018/1/19,176.12,3746267,61.26,8361853,83.81,1677686,343.87,1152978,61.58,1449389,45.97,2989690,99.04,1306189,213.54,615679,64.56,875141,16.84,3470008,48.34,824918
2018/1/18,174.57,2154754,61.09,9170903,83.1,1015220,337.53,889043,62.11,661976,45.14,1541093,97.36,913844,210.91,769321,65.09,897595,16.83,2016071,47.74,592215
2018/1/17,174.98,4129573,60.66,8433771,83.09,1678525,334.63,979061,62.31,1462740,45.54,2304502,97.46,1212335,207.89,836723,63.79,733196,16.79,2542233,47.59,810511
2018/1/16,173.68,3662624,60.56,8040748,82.93,1391154,327.37,706540,62.04,2210105,46.24,3074675,96.74,1565590,209.29,1104914,63.7,624443,16.82,2545807,47.63,1118615
2018/1/12,173.57,2901615,60.4,6989075,83.62,1377469,327.34,675908,61.22,2234436,45.86,4401431,98.02,1076331,211.15,1015714,64.39,579165,17.25,3525491,48.18,832976
2018/1/11,173.39,3077963,60,5806282,82.49,1352675,325.5,813572,61.2,1907661,43.8,4504155,97.6,1277549,209.85,1464964,63.2,627125,17.24,4781929,48.12,1051249
2018/1/10,173.51,2173176,59.82,8656454,82.55,887313,321.8,1154620,61.09,2879741,42.68,2376600,96.79,1353908,200.09,2404813,63.03,771846,17.33,8177875,47.24,1189839
2018/1/9,173.54,2674280,59.18,5233353,82.76,1701081,319.37,681944,62.55,1105334,43.29,3306820,97.49,1885547,206.71,1159025,63.64,570791,17.34,6849215,47.42,995237
2018/1/8,173.93,2060827,59.31,6335782,82.98,1599534,318.47,1087703,63.08,1207469,42.68,1442818,98.78,1857276,203.61,1068301,64.39,752995,16.62,1915344,48.5,1479766
2018/1/5,174.05,3737690,59.61,6047686,82.84,1927917,313.79,998208,63.51,1620411,42.75,1895927,99.31,1303063,200.3,1158547,64.4,999499,16.79,3277823,50.21,845911
2018/1/4,173.7,2756369,58.93,5775921,82.36,1971969,307.11,703303,63.86,1422210,42.5,2186273,98.52,2156312,197.29,1539502,64.95,854283,16.51,2552011,50.19,795209
2018/1/3,172.49,3789590,58.71,7478356,81.53,2554926,309,1957448,63.66,2206315,42.24,2435419,98.54,1632452,191.66,646743,66.03,486420,16.7,3074085,50.41,970457
2018/1/2,173.22,3696871,57.63,7215978,81.6,1747813,292.95,1463989,62.44,1520406,40.63,1373309,96.32,2015343,186.94,926200,65.55,1010426,16.32,2577423,49.31,1341338
2017/12/29,172.12,2201771,57.43,5365646,81.61,1347613,289.03,1111425,61.48,1325134,40.02,1233418,96.02,1526384,188.96,1015445,64.47,378295,16.42,1609649,48.18,970386
2017/12/28,173.1,1800068,57.81,5044505,82.67,673301,294.82,517285,61.87,693662,40.68,944912,97.5,670354,189.98,432025,65.32,430542,16.53,1851051,49.53,380142
2017/12/27,172.67,1596817,57.27,4812173,82.4,1051921,295.42,863979,61.13,663168,40.19,1127792,97.41,1025548,190.57,441446,65.51,404427,16.49,5457746,49.45,468729
2017/12/26,171.29,1280227,57.14,5546208,82.19,666705,295.52,546430,60.57,654732,39.55,990707,97.15,1124725,190.37,622936,65.26,381832,16.51,1529140,49.7,589576
2017/12/22,171.42,3234143,57.3,7148723,82.4,919864,295.23,1197611,61.28,886679,40.87,881865,96.4,1384469,192.87,844433,64.81,729034,16.44,5168848,49.45,848126
2017/12/21,171.85,2343276,57.58,5974474,82.5,1662067,292.4,1527199,62.01,1619465,41.09,789978,95.06,1615780,188.39,880965,65.01,1556677,16.35,4592203,49.2,681413
2017/12/20,172.17,2749398,57.73,7188717,82.13,1157610,298.67,2019151,61.26,1179455,40.91,1147382,95.67,2720016,183.62,843794,63.49,701669,16.58,5214517,48.88,1196386
2017/12/19,173.39,3122460,58.01,7946435,82.86,1229389,313.17,793844,60.92,2651269,42.01,1870565,96.69,4835063,187.06,636578,63.49,1884578,16.4,8305761,49.01,1211436
2017/12/18,174.2,2426273,58.03,8751620,83.11,1780600,313.42,814206,61.06,994683,41.2,1290761,90.54,3056837,186,1627851,61.92,800726,15.79,2882612,47.62,1013841
2017/12/15,174.06,7435241,58.29,22595018,82.3,4271650,312.12,1117234,61,1703882,40.54,1575806,88.41,3067127,185.04,1287016,61.37,970233,15.51,6326597,47.23,2374598
2017/12/14,173.14,2667075,59.7,8946111,82.04,1406410,314.02,713189,61.12,1203461,40.49,1285174,86.96,1480897,182.52,1401677,60.71,384268,15.36,3145554,47.87,904966
2017/12/13,173.55,2554009,59.49,7726299,82.19,1640896,319.7,961954,61.54,1268366,40.62,1976609,87.6,1254314,180.51,637394,60.98,397898,15.63,2727695,48.3,762786
2017/12/12,172.23,2805872,59.27,6042917,81.99,1628520,318.38,699183,61,1282574,40.56,724898,87.14,1803547,180.61,669309,60.64,582016,15.39,2261196,48.2,849017
2017/12/11,173.25,2340780,59.07,10286560,82.45,1643942,313.39,688677,60.45,1355948,40.8,1085861,86.55,2067215,180.96,1029043,60.34,671199,15.28,2685295,48.42,930707
2017/12/8,173.15,2241149,58.61,9950491,83.32,1877080,315.9,1870347,60.71,1088362,40.81,1641783,86.41,1582982,183.91,1486440,60.3,509490,15.25,3806507,48.49,1294281
2017/12/7,172.91,2284815,59.14,6033792,83.05,1580797,313.65,987334,61.08,1169886,40.18,1213824,85.28,1595456,179.51,918677,60.6,542793,14.95,2221684,48,1049972
2017/12/6,173.48,2619230,59.28,8458198,83.24,1573871,310.67,817667,61.17,2105136,39.96,1643443,85.53,1300064,181.17,636139,60.02,717765,15.07,2810959,48.26,1215958
2017/12/5,172.99,3228719,59.34,11295644,83.1,1899462,315.56,1165016,60.79,2980661,40.73,1308256,86.14,2156227,185.5,707110,61,848956,15.37,4857355,49.61,1224907
2017/12/4,170.65,3943113,58.76,13302050,83.31,2309244,315.6,2690979,60.95,3074163,41.05,3371894,86.06,2369092,187.62,1341168,60.58,1479543,15.35,5180581,49.56,2122950
